id,name,style,label
1,Kendrick Lamar,Hip-Hop,Top Dawg Entertainment
2,Taylor Swift,Pop,Republic Records
3,Radiohead,Alternative Rock,XL Recordings
4,Billie Eilish,Electropop,Darkroom/Interscope
5,Beyoncé,R&B,Parkwood/Columbia
6,Drake,Hip-Hop,OVO Sound/Republic
7,Adele,Soul/Pop,Columbia
8,The Weeknd,R&B/Pop,Republic Records
9,Arctic Monkeys,Indie Rock,Domino Recording Company
10,Dua Lipa,Pop,Warner Records
11,Travis Scott,Hip-Hop,Cactus Jack/Epic
12,Lana Del Rey,Dream Pop,Polydor/Interscope
13,Frank Ocean,R&B/Alternative,Blonded
14,SZA,R&B,Top Dawg Entertainment
15,Bruno Mars,Pop/Funk,Atlantic Records
16,Post Malone,Hip-Hop/Pop,Republic Records
17,Doja Cat,Pop/Hip-Hop,Kemosabe/RCA
18,Phoebe Bridgers,Indie Folk,Dead Oceans
19,Bad Bunny,Reggaeton/Latin, Rimas Entertainment
20,Rosalía,Flamenco/Pop,Columbia Records
